Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD488	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRJA35	UBPRK447	UBPRKW07	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	RBC_TOT_RWA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	Unrealized holding gains (losses) on	NCORE DPDNCY INS LIMIT TIME DEP	Provision for credit losses on all o	
3/31/2021 11:59:59 PM	37	16988	55	13.99	0	1.26	0.46	18.3717		88179	2.98	0.33	2.66	0.34	2.69	0	0.32	0	0.32	0.25	0.25	0.25	0.25	95.14	56.14	3.14	0.34	2.79	-0.02			4.56	4.56	23.11	1.27	0.99	-9.69	89.82	0.97	0.12	0.35	0	0	-11.67		
3/31/2021 11:59:59 PM	242	5105	161	25.05	177.02	0.47	0.04	9.6071		52992	3.02	0.42	2.61	0.49	1.77	0	1.33	0	1.33	1.22	1.35	1.05	1.22	94.55	67.27	3.2	0.44	2.76	-0.28			0.71	0.71	44.96	-9.38	1.33	1.66	67.34	476.45	0.04	0	0	0	-10.61		
3/31/2021 11:59:59 PM	279	31658	244	17.27	0	1.47	0.45	10.097		306887	3.42	0.73	2.69	0.48	2.77	0	0.4	0	0.4	0.32	0.32	0.32	0.32	94.59	78.66	3.62	0.77	2.84	0	295	390.5	0.73	0.73	67.08	3.09	5.09	16.54	87.01	-28.37	0	0.45	0	0	2.45		
3/31/2021 11:59:59 PM	354	1653	0	30.16		14.39	0	8.7627		18864	3.73	0.28	3.46	0.87	4.33	0	0	0	0	0	0.04	0	0	97.13	45.9	3.84	0.28	3.56	-0.09			2.15	2	46.82	0	0	-22.85	312.13	1.56	0	0	0	0	-89.21		
3/31/2021 11:59:59 PM	457	4989	174	16.75	59.2	13.85	0.72	8.0743	13.8511	61789	4.04	0.6	3.44	0.26	2.58	0	1.12	0	1.14	1.13	1.08	0.9	1.13	97.56	73.8	4.14	0.61	3.53	0.07	24.86	24.07	1.53	1.53	66.83	5.73	5.49	-5	165.04	-43.17	0.23	0.49	0	0.02	-20.47		
3/31/2021 11:59:59 PM	505	57348	1191	16.32	33.5	7.45	0.47	8.3152	13.3367	702946	3.26	0.19	3.07	0.51	2.6	0.12	0.86	0	0.86	0.68	0.79	0.68	0.68	97.05	71.05	3.36	0.2	3.16	0.02	73.57	82.23	1.46	1.46	70.51	5.56	2.66	8.02	161.29	53.89	0.22	0.25	0	0	-12.61		
3/31/2021 11:59:59 PM	1155	26234	1223	16.16	49.06	7.41	0.08	8.88		291294	3.81	0.28	3.53	0.94	2.63	0.07	1.77	0	1.77	1.68	1.88	1.4	1.68	94.43	78.01	4.03	0.3	3.73	-0.19			2.02	2.02	68.34	9.56	0.97	5.26	115.61	-6.54	0	0.08	0	0	-18.46		
3/31/2021 11:59:59 PM	1351	27829	687	9.99	50.22	4.11	3.46	14.831		187621	4.36	0.83	3.53	0.27	2.13	0.16	1.51	0	1.51	1.46	1.72	1.19	1.46	93.99	70.09	4.64	0.88	3.76	-0.16			1.25	1.25	56.15	4.94	33.49	2.75	4.59	-28.58	1.56	1.91	0	0	-2.98		
3/31/2021 11:59:59 PM	1454	104176	3132	10.64	39.91	7.29	0.17	10.6668		974287	2.41	0.08	2.32	1	2.06	0	1.26	0.04	1.31	1.29	1.29	1.04	1.29	97.16	58.56	2.48	0.09	2.39	-0.01			1.26	1.24	36.43	7.07	3.02	34.4	-36.69	-11.82	0	0.17	0	0.01	-19.81		
